device_id,current,active_power,reactive_power,ts_id,device_type,device_location,device_brand,device_category,description,synthetic
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0054,0.0,-0.01,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0054,0.0,-0.01,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0054,0.0,-0.01,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0054,0.0,-0.01,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0054,0.0,-0.01,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0054,0.0,-0.01,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0054,0.0,-0.01,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0054,0.0,-0.01,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0054,0.0,-0.01,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0054,0.0,-0.01,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0054,0.0,-0.01,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0054,0.0,-0.01,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0054,0.0,-0.01,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0054,0.0,-0.01,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0054,0.0,-0.01,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,1.0556,29.6,-0.46,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0171,0.1,4.17,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0171,0.0,4.3,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0164,0.11,4.27,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0164,0.14,4.28,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0164,0.14,4.28,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0383,2.02,4.12,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0226,1.15,4.01,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0226,1.18,4.03,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.025,1.26,3.97,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0274,1.83,3.98,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0274,1.85,3.87,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.0274,1.85,3.87,112570,tv,GB,LG,office,55 inch 4k ultra,0
29ef5676-6f02-4f09-b160-fb029b8fd077,0.1102,13.57,3.31,112570,tv,GB,LG,office,55 inch 4k ultra,0
9be3e15f-b263-47fe-afa5-d654fc8e885a,0.0067,0.0,-0.01,112571,charger,GB,apple,home,20w charging brick,0
9be3e15f-b263-47fe-afa5-d654fc8e885a,0.0067,0.0,-0.01,112571,charger,GB,apple,home,20w charging brick,0
9be3e15f-b263-47fe-afa5-d654fc8e885a,0.0067,0.0,-0.01,112571,charger,GB,apple,home,20w charging brick,0
9be3e15f-b263-47fe-afa5-d654fc8e885a,0.0067,0.0,-0.01,112571,charger,GB,apple,home,20w charging brick,0
9be3e15f-b263-47fe-afa5-d654fc8e885a,0.0067,0.0,-0.01,112571,charger,GB,apple,home,20w charging brick,0
9be3e15f-b263-47fe-afa5-d654fc8e885a,0.0067,0.0,-0.01,112571,charger,GB,apple,home,20w charging brick,0
9be3e15f-b263-47fe-afa5-d654fc8e885a,0.0067,0.0,-0.01,112571,charger,GB,apple,home,20w charging brick,0
9be3e15f-b263-47fe-afa5-d654fc8e885a,0.0067,0.0,-0.01,112571,charger,GB,apple,home,20w charging brick,0
9be3e15f-b263-47fe-afa5-d654fc8e885a,0.0067,0.0,-0.01,112571,charger,GB,apple,home,20w charging brick,0
9be3e15f-b263-47fe-afa5-d654fc8e885a,0.0067,0.0,-0.01,112571,charger,GB,apple,home,20w charging brick,0
9be3e15f-b263-47fe-afa5-d654fc8e885a,0.0067,0.0,-0.01,112571,charger,GB,apple,home,20w charging brick,0
9be3e15f-b263-47fe-afa5-d654fc8e885a,0.0067,0.0,-0.01,112571,charger,GB,apple,home,20w charging brick,0
9be3e15f-b263-47fe-afa5-d654fc8e885a,0.0067,0.0,-0.01,112571,charger,GB,apple,home,20w charging brick,0
9be3e15f-b263-47fe-afa5-d654fc8e885a,0.0067,0.0,-0.01,112571,charger,GB,apple,home,20w charging brick,0
9be3e15f-b263-47fe-afa5-d654fc8e885a,0.0067,0.0,-0.01,112571,charger,GB,apple,home,20w charging brick,0
9be3e15f-b263-47fe-afa5-d654fc8e885a,0.0067,0.0,-0.01,112571,charger,GB,apple,home,20w charging brick,0
9be3e15f-b263-47fe-afa5-d654fc8e885a,0.0067,0.0,-0.01,112571,charger,GB,apple,home,20w charging brick,0
9be3e15f-b263-47fe-afa5-d654fc8e885a,0.0067,0.0,-0.01,112571,charger,GB,apple,home,20w charging brick,0
9be3e15f-b263-47fe-afa5-d654fc8e885a,0.0067,0.0,-0.01,112571,charger,GB,apple,home,20w charging brick,0
9be3e15f-b263-47fe-afa5-d654fc8e885a,0.0067,0.0,-0.01,112571,charger,GB,apple,home,20w charging brick,0
9be3e15f-b263-47fe-afa5-d654fc8e885a,0.0314,3.22,0.4,112571,charger,GB,apple,home,20w charging brick,0
9be3e15f-b263-47fe-afa5-d654fc8e885a,0.0314,3.22,0.4,112571,charger,GB,apple,home,20w charging brick,0
9be3e15f-b263-47fe-afa5-d654fc8e885a,0.0412,5.5,0.79,112571,charger,GB,apple,home,20w charging brick,0
9be3e15f-b263-47fe-afa5-d654fc8e885a,0.0419,5.51,0.83,112571,charger,GB,apple,home,20w charging brick,0
